,State,District,Latitude,Longitude,StationId
277,TELANGANA,RANGAREDDY,17.3286991119385,78.4375,173784
278,ASSAM,KOKRAJHAR,26.38330078125,90.3125,264903
279,GUJARAT,JAMNAGAR,21.6998996734619,69.375,217694
280,ORISSA,RAYAGADA,19.202100753784197,83.4375,192834
281,RAJASTHAN,SAWAI MADHOPUR,26.38330078125,76.5625,264766
282,UTTAR PRADESH,KHERI LAKHIMPUR,28.256700515747102,80.625,283806
283,UTTAR PRADESH,MATHURA,7.02514982223511,79.375,70794
284,UTTAR PRADESH,RAE BARELI,26.071100234985398,81.25,261813
285,ANDAMAN AND NICOBAR ISLANDS,BAY ISLANDS,7.649610042572019,82.5,76825
286,NEW DELHI,DELHI,28.5688991546631,77.1875,286772
287,ANDHRA PRADESH,ANANTAPUR,13.5819997787476,77.1875,136772
288,ANDHRA PRADESH,ANANTAPUR,14.5186004638672,77.5,145775
289,ANDHRA PRADESH,EAST GODAVARI,17.3286991119385,82.1875,173822
290,KARNATAKA,HASSAN,12.645299911499,75.625,126756
291,KARNATAKA,RAICHUR,16.0797996520996,76.25,161763
292,MADHAYA PRADESH,UJJAIN,23.260999679565398,75.3125,233753
293,MAHARASHTRA,NANDURBAR,21.0753993988037,73.4375,211734
294,ORISSA,SAMBALPUR,21.3876991271973,83.4375,214834
295,UTTAR PRADESH,AZAMGARH,26.071100234985398,83.125,261831
296,UTTAR PRADESH,BANDA,25.1343994140625,80.3125,251803
297,TELANGANA,KHAMMAM,17.3286991119385,81.25,173813
298,ANDHRA PRADESH,KURNOOL,15.4553003311157,78.125,155781
299,GUJARAT,BARODA,22.324399948120103,73.125,223731
300,MAHARASHTRA,BULDHANA,20.1387996673584,76.25,201763
301,MAHARASHTRA,JALNA,20.1387996673584,75.3125,201753
302,RAJASTHAN,BHILWARA,25.4466991424561,75.3125,254753
303,RAJASTHAN,CHURU,28.256700515747102,75.0,283750
304,UTTARAKHAND,CHAMPAWAT,28.5688991546631,80.0,286800
305,TELANGANA,ADILABAD,18.577600479126,77.5,186775
306,GUJARAT,BANASKANTHA,24.1977005004883,72.1875,242722
307,HARYANA,HISSAR,7.02514982223511,79.375,70794
308,KARNATAKA,CHITRADURGA,13.8942003250122,76.5625,139766
309,KARNATAKA,GULBARGA,16.704200744628903,76.875,167769
310,MAHARASHTRA,SATARA,17.3286991119385,73.4375,173734
311,RAJASTHAN,DHOLPUR,26.6956005096436,78.125,267781
312,TAMILNADU,THIRUVARUR,10.459699630737301,79.375,105794
313,UTTAR PRADESH,KHERI LAKHIMPUR,28.256700515747102,80.9375,283809
314,WEST BENGAL,MIDNAPORE,22.0121002197266,88.125,220881
315,CHATISGARH,RAIPUR,20.451000213623,82.1875,205822
316,GUJARAT,SABARKANTHA,23.260999679565398,72.5,233725
317,HARYANA,HISSAR,29.1933994293213,75.3125,292753
318,KARNATAKA,BELLARY,15.1430997848511,75.625,151756
319,KARNATAKA,TUMKUR,12.957500457763699,77.1875,130772
320,MAHARASHTRA,AHMEDNAGAR,19.202100753784197,74.6875,192747
321,RAJASTHAN,CHURU,28.256700515747102,75.3125,283753
322,UTTAR PRADESH,GHAZIPUR,7.02514982223511,79.375,70794
323,UTTAR PRADESH,MAU,26.071100234985398,83.125,261831
324,TELANGANA,MEDAK,17.953199386596697,78.4375,180784
325,KARNATAKA,BELLARY,15.4553003311157,76.5625,155766
326,KERALA,PALAKKAD,10.459699630737301,75.9375,105759
327,MAHARASHTRA,CHANDRAPUR,20.451000213623,79.375,205794
328,UTTAR PRADESH,BASTI,26.38330078125,82.1875,264822
329,UTTAR PRADESH,GAZIABAD,28.5688991546631,77.5,286775
330,TELANGANA,NIZAMABAD,18.577600479126,78.125,186781
331,TELANGANA,RANGAREDDY,17.3286991119385,77.5,173775
332,ASSAM,CACHAR,24.510000228881804,92.5,245925
333,BIHAR,MADHEPURA,26.38330078125,86.5625,264866
334,BIHAR,SITAMARHI,26.38330078125,85.3125,264853
335,BIHAR,SUPAUL,26.071100234985398,86.25,261863
336,GUJARAT,JAMNAGAR,22.324399948120103,70.0,223700
337,HARYANA,HISSAR,29.5055999755859,75.9375,295759
338,HIMACHAL PRADESH,SOLAN,30.4423007965088,76.875,304769
339,KARNATAKA,KANARA NORTH,13.8942003250122,74.375,139744
340,RAJASTHAN,ALWAR,27.632299423217802,76.25,276763
341,RAJASTHAN,JHALAWAR,24.1977005004883,75.9375,242759
342,RAJASTHAN,JHUNJHUNU,27.944499969482397,75.3125,279753
343,UTTAR PRADESH,BIJNOR,29.1933994293213,78.125,292781
344,UTTAR PRADESH,SITAPUR,27.007799148559602,80.625,270806
345,ARUNACHAL PRADESH,CHANGLANG,27.3199996948242,96.25,273963
346,MADHAYA PRADESH,KHANDWA,21.0753993988037,76.25,211763
347,MAHARASHTRA,SATARA,17.0165004730225,74.0625,170741
