SN,STATE NAME,DISTRICT NAME,STATION NAME,CLASS,LAT,LON,HEIGHT(MTR),CATCH
197,ANDHRA,PRAKASAM,MARKAPUR,REV,15.45,79.18,0150,305
198,ANDHRA,PRAKASAM,CUMBAM,REV,15.35,79.07,0178,305
199,ANDHRA,PRAKASAM,ONGOLE,OBSY,15.34,80.03,0012,305
200,ANDHRA,PRAKASAM,YERRAGONDAPALEM,REV,16.02,79.18,0180,305
201,ANDHRA,SRIKAKULAM,PALAKONDA,REV,18.36,83.45,0047,318
202,ANDHRA,SRIKAKULAM,VEERAGATTAM,REV,18.45,83.40,0070,318
203,ANDHRA,SRIKAKULAM,RANASTHALAM,REV,18.15,83.45,0055,318
204,ANDHRA,SRIKAKULAM,SOMPETA,REV,18.56,84.36,0044,318
205,ANDHRA,SRIKAKULAM,TEKKALI,REV,18.37,84.15,0033,318
206,ANDHRA,SRIKAKULAM,KALINGAPATNAM,OBSY,18.20,84.08,0006,318
207,ANDHRA,SRIKAKULAM,PATHAPATNAM,REV,18.45,84.05,0060,318
208,ANDHRA,SRIKAKULAM,ITCHAPURAM,REV,19.07,84.42,0005,318
209,ANDHRA,SRIKAKULAM,PALASA,REV,19.55,84.30,0040,318
210,ANDHRA,SRIKAKULAM,MANDASA,REV,19.50,84.30,0020,318
211,ANDHRA,VISAKHAPATNAM,CHINTAPALLI,REV,17.52,82.21,0785,317
212,ANDHRA,VISAKHAPATNAM,ARAKU VALLEY,REV,18.20,82.51,0924,317
213,ANDHRA,VISAKHAPATNAM,PADERU,REV,18.05,82.40,1050,317
214,ANDHRA,VISAKHAPATNAM,CHODAVARAM,REV,17.50,82.56,0132,318
215,ANDHRA,VISAKHAPATNAM,NARSIPATNAM,REV,17.40,82.37,0078,318
216,ANDHRA,VISAKHAPATNAM,YELLAMANCHILI,REV,17.33,82.52,0018,318
217,ANDHRA,VISAKHAPATNAM,BHIMUNIPATNAM,REV,17.53,83.26,0012,318
218,ANDHRA,VISAKHAPATNAM,VISAKHAPATNAM AP,OBSY,17.43,83.14,0003,318
219,ANDHRA,VISAKHAPATNAM,ANAKAPALLI,REV,17.41,83.00,0027,318
220,ANDHRA,VISAKHAPATNAM,VISAKHAPATNAM,OBSY,17.41,83.18,0004,318
221,ANDHRA,WARANGAL,NARSAMPET,REV,17.55,79.53,0238,310
222,ANDHRA,WARANGAL,JANGAON,REV,17.43,79.10,0375,310
223,ANDHRA,WARANGAL,MAHBUBABAD,PWD,17.37,80.00,0193,310
224,ANDHRA,WARANGAL,MAHBUBABAD,REV,17.37,80.00,0193,310
225,ANDHRA,WARANGAL,HANAMKONDA,OBSY,18.01,79.34,0269,313
