State,Month,TotalPrecipitation,AverageMinTemperature,AverageMaxTemperature,AverageRelativeHumidity
DADRA AND NAGAR HAVELI,2013-05,177.59285,27.97258,29.86303,0.72236
DADRA AND NAGAR HAVELI,2013-08,477.89156,26.68442,27.30319,0.85716
UTTAR PRADESH,2001-01,1525.08254,6.34936,24.41632,0.44238
SIKKIM,2006-03,4.86145,13.04734,25.15152,0.22376
MADHAYA PRADESH,2012-02,51.47045,10.78831,30.00785,0.32284
UTTARAKHAND,2012-02,155.11378,8.14265,22.42729,0.34885
GUJARAT,2002-03,320.14915,21.27169,35.43016,0.40725
BIHAR,2000-07,11281.65653,26.82981,35.01580,0.70142
MIZORAM,2006-07,626.63081,23.03443,31.01737,0.86209
PUNJAB,2013-06,1061.70170,29.22383,42.22198,0.41808
KARNATAKA,2009-09,8899.95059,21.32752,27.63579,0.85332
LADAKH,2010-09,20.97616,-2.42787,6.70392,0.76161
GUJARAT,2001-11,1171.03479,20.56514,33.64615,0.36189
MAHARASHTRA,2002-08,14783.77299,22.88800,26.85407,0.86211
JHARKHAND,2012-12,492.39876,10.59011,25.84921,0.50203
KARNATAKA,2012-11,2722.29729,17.30651,29.12590,0.67054
PUNJAB,2009-10,494.53451,17.33791,34.65553,0.37785
SIKKIM,2004-09,194.06482,19.47514,26.75796,0.71595
GUJARAT,2012-12,1036.00235,18.84208,29.97586,0.47389
LADAKH,2006-01,100.34638,-23.45489,-8.12398,0.75467
NEW DELHI,2006-06,52.56385,29.12480,41.46550,0.29755
CHANDIGARH,2011-04,42.00551,18.37877,36.18440,0.29005
MANIPUR,2001-01,1.28059,3.26398,22.27774,0.64344
PUNJAB,2006-08,2895.69891,26.29706,36.36126,0.64049
GOA,2002-10,539.47249,25.22247,30.98426,0.79381
DAMAN AND DIU,2008-03,0.00000,25.11879,27.50581,0.65921
HIMACHAL PRADESH,2002-11,854.24648,8.64849,23.20781,0.32447
HIMACHAL PRADESH,2007-09,1625.37783,17.93613,29.42178,0.62032
ARUNACHAL PRADESH,2011-12,374.74968,7.14711,19.09317,0.64778
MADHAYA PRADESH,2000-10,472.70276,17.13373,36.54115,0.35256
MEGHALAYA,2012-04,643.30148,20.42804,31.57450,0.69290
UTTARAKHAND,2008-07,6981.30788,22.27688,28.86121,0.82920
UTTARAKHAND,2001-05,1449.06320,22.31415,36.79809,0.31728
UTTARAKHAND,2004-11,768.93801,11.28180,25.93821,0.37107
ANDHRA PRADESH,2012-10,1477.29648,20.17444,31.92259,0.68671
ARUNACHAL PRADESH,2010-05,6651.55582,16.32644,23.74708,0.89151
MEGHALAYA,2011-11,107.47675,15.62497,28.87899,0.61257
ANDAMAN AND NICOBAR ISLANDS,2009-02,4.38202,26.23054,27.20236,0.74439
UTTAR PRADESH,2006-09,8457.54395,24.35971,34.90725,0.63947
PUDUCHERRY,2012-01,18.46047,18.61047,29.40047,0.76651
JHARKHAND,2000-01,411.78758,10.23095,26.52873,0.43844
