State,Month,TotalPrecipitation,AverageMinTemperature,AverageMaxTemperature,AverageRelativeHumidity
MAHARASHTRA,2006-01,187.26893,15.01721,30.30230,0.37945
HARYANA,2007-05,1592.24603,27.80821,42.89401,0.26231
JHARKHAND,2008-03,559.00959,18.92836,35.51212,0.34006
MIZORAM,2004-03,21.82102,16.94409,34.52795,0.44834
GOA,2012-01,0.53215,23.92274,28.90603,0.60883
NEW DELHI,2013-12,8.83026,8.64023,22.90758,0.50541
ANDAMAN AND NICOBAR ISLANDS,2006-06,98.13758,28.87700,30.53010,0.74114
HIMACHAL PRADESH,2003-06,1551.48770,22.17372,36.13246,0.31818
DADRA AND NAGAR HAVELI,2005-01,49.20216,22.19832,27.58906,0.59204
ARUNACHAL PRADESH,2009-06,9806.38994,18.85385,26.14132,0.88419
DADRA AND NAGAR HAVELI,2008-01,71.05752,21.97758,27.12490,0.58469
ANDHRA PRADESH,2002-04,67.28548,24.81030,40.27812,0.49157
WEST BENGAL,2000-10,3341.13950,22.00902,31.52338,0.76064
ARUNACHAL PRADESH,2011-06,3823.50275,18.64756,27.24533,0.80868
CHATISGARH,2001-04,295.67654,22.19775,40.80759,0.25099
KARNATAKA,2001-05,1496.30300,22.93155,35.63869,0.56083
SIKKIM,2012-08,607.02896,19.24739,25.51227,0.74884
WEST BENGAL,2011-11,1027.97277,17.19383,29.33015,0.64297
LADAKH,2000-07,18.75444,2.30721,14.73719,0.55474
LADAKH,2011-07,53.33433,3.76340,13.91823,0.55156
DADRA AND NAGAR HAVELI,2010-07,869.90320,27.24887,27.94584,0.86011
TELANGANA,2005-06,415.47595,28.06057,38.63011,0.42642
PUDUCHERRY,2007-08,141.95366,25.89519,36.12529,0.61692
PUNJAB,2003-09,1118.82227,24.20880,37.33714,0.58197
PUDUCHERRY,2011-08,113.09825,25.49474,35.44179,0.61737
PUNJAB,2003-05,1246.24457,24.13069,42.26949,0.20211
MANIPUR,2011-12,9.49716,6.67316,23.92923,0.77706
DAMAN AND DIU,2006-12,0.00000,24.35273,27.19431,0.60140
MIZORAM,2009-11,68.79659,15.98259,29.35943,0.77669
CHANDIGARH,2000-03,0.06180,9.94358,32.21565,0.19353
GOA,2002-08,1825.36907,24.70495,26.69315,0.87319
HIMACHAL PRADESH,2005-02,2049.47041,5.37612,15.30810,0.62519
DADRA AND NAGAR HAVELI,2002-06,753.68851,27.43390,29.22460,0.80796
TAMILNADU,2006-11,17527.22453,22.25708,27.94162,0.86057
TAMILNADU,2008-04,3090.53177,23.76694,36.20452,0.59830
DADRA AND NAGAR HAVELI,2004-02,19.55853,23.28376,28.59131,0.57197
DADRA AND NAGAR HAVELI,2010-01,21.66824,23.12203,28.08645,0.59487
JAMMU AND KASHMIR,2004-02,844.22581,-0.11405,13.28531,0.55988
UTTAR PRADESH,2004-10,6562.00066,18.80795,32.73035,0.52004
TELANGANA,2010-10,1488.90580,20.69070,30.19817,0.74491
MEGHALAYA,2002-01,63.54733,10.33188,24.38271,0.60890
PUDUCHERRY,2006-11,528.86594,23.53180,29.05998,0.86439
ANDHRA PRADESH,2013-08,2643.98500,23.37088,31.51818,0.71353
TAMILNADU,2004-06,4596.72550,24.14582,32.63216,0.66737
JAMMU AND KASHMIR,2004-03,157.06790,5.34679,21.99452,0.32459
DADRA AND NAGAR HAVELI,2011-06,630.88364,27.80400,29.01530,0.82093
LADAKH,2003-11,19.38701,-15.17972,-2.86307,0.51501
KARNATAKA,2009-03,471.75128,19.66518,36.02018,0.45302
MIZORAM,2012-03,85.53343,15.00569,34.22093,0.57258
WEST BENGAL,2009-04,1000.94172,24.76013,40.27708,0.44058
BIHAR,2004-06,8491.64363,28.09834,38.61432,0.53350
PUDUCHERRY,2008-09,102.80028,26.03147,37.06508,0.57024
LAKSHADWEEP,2003-09,588.28610,27.04660,28.24520,0.79302
JAMMU AND KASHMIR,2011-01,518.94294,-3.15255,9.23952,0.51552
WEST BENGAL,2007-07,11869.92126,26.16250,30.87126,0.85495
ORISSA,2003-11,1326.86993,15.59674,28.94385,0.66898
HARYANA,2000-02,409.64437,6.72383,23.52491,0.47458
KERALA,2010-09,7393.04150,24.45937,28.01364,0.85077
GUJARAT,2006-08,11832.80963,25.16133,28.49726,0.86007
CHANDIGARH,2006-06,16.88805,27.81077,42.69937,0.24733
MAHARASHTRA,2013-02,156.78834,18.30945,32.02514,0.41246
RAJASTHAN,2009-02,16.64258,12.30096,30.13294,0.32632
ASSAM,2000-04,2947.98454,18.57881,34.12556,0.55433
TELANGANA,2008-03,1371.94130,20.80010,35.06086,0.44022
KERALA,2009-09,8632.04244,24.64270,27.59829,0.86776
LAKSHADWEEP,2011-06,474.08578,28.15963,28.97657,0.77816
LAKSHADWEEP,2005-05,239.95513,28.91323,30.29668,0.78614
CHATISGARH,2011-10,352.14257,17.61392,32.70049,0.59519
MANIPUR,2010-08,1507.66584,20.58319,27.25587,0.92374
CHANDIGARH,2010-01,6.22959,6.01474,22.13971,0.62140
MANIPUR,2009-05,787.75572,18.23147,30.30100,0.73935
GOA,2001-10,315.00806,23.70476,30.01624,0.78126
HIMACHAL PRADESH,2000-11,774.67052,8.87730,23.11686,0.33138
DADRA AND NAGAR HAVELI,2005-09,412.55092,26.81813,28.27727,0.84630
ANDHRA PRADESH,2003-07,4951.06109,25.04730,32.77979,0.69812
WEST BENGAL,2001-03,189.01629,19.46208,35.97356,0.38910
TAMILNADU,2008-07,4715.33884,24.58710,33.62107,0.64963
RAJASTHAN,2001-04,254.76293,21.03979,39.42372,0.17144
UTTARAKHAND,2009-03,227.33345,12.11579,28.52160,0.44056
MAHARASHTRA,2005-06,7733.10536,26.76594,35.83695,0.54699
MAHARASHTRA,2008-09,11251.79203,22.29160,28.86885,0.83977
MEGHALAYA,2000-11,147.78562,15.26277,26.78394,0.74867
MADHAYA PRADESH,2011-12,214.03799,9.41153,27.92872,0.43783
RAJASTHAN,2003-09,1907.05146,24.09515,34.74720,0.59364
WEST BENGAL,2010-03,303.84411,21.76938,37.74137,0.44381
NAGALAND,2001-04,790.10838,11.76029,25.79493,0.65933
MIZORAM,2005-11,42.25788,14.26991,28.83084,0.77954
KERALA,2006-07,7842.36656,24.90481,27.85507,0.84238
BIHAR,2001-10,7852.03175,21.28527,31.90922,0.72972
NAGALAND,2003-05,1160.18168,14.38676,24.13152,0.83952
KARNATAKA,2012-02,29.92808,16.33988,33.29148,0.42792
NAGALAND,2006-10,912.49140,12.22950,23.81914,0.87275
DADRA AND NAGAR HAVELI,2012-11,107.02568,26.21060,28.72393,0.60417
TAMILNADU,2012-02,508.08692,17.93038,32.32059,0.60959
LADAKH,2009-07,15.33494,-1.08206,9.64615,0.76563
PUDUCHERRY,2011-05,101.24334,26.88068,39.95306,0.50523
MEGHALAYA,2001-08,2507.93662,23.47797,29.90776,0.88679
MANIPUR,2003-01,11.17516,5.10022,22.68153,0.68868
RAJASTHAN,2004-10,1836.07708,18.90343,33.35742,0.40350
GUJARAT,2012-02,190.50148,16.34417,29.90292,0.39335
TELANGANA,2003-06,867.26917,27.62726,37.80629,0.44995
MIZORAM,2009-03,26.61409,16.53591,35.34406,0.41925
MIZORAM,2007-05,460.25761,22.42308,33.53004,0.76372
ORISSA,2012-05,600.82612,25.37849,43.50325,0.43554
PUDUCHERRY,2002-05,95.18111,28.06189,40.02777,0.52707
KERALA,2000-06,12318.49138,24.85699,27.28903,0.84734
LAKSHADWEEP,2000-09,411.29607,26.75597,27.82310,0.81635
MANIPUR,2010-05,1406.56333,18.91691,27.90306,0.85906
DAMAN AND DIU,2009-03,0.01030,26.04476,28.61944,0.63033
ARUNACHAL PRADESH,2002-07,10552.06521,19.91553,25.69963,0.90382
UTTAR PRADESH,2006-12,1049.85435,11.05912,26.87751,0.42567
ARUNACHAL PRADESH,2006-10,774.42168,13.96969,26.41660,0.66761
ANDHRA PRADESH,2002-07,1841.46088,26.59269,35.74551,0.55272
UTTARAKHAND,2005-12,399.15244,7.23635,22.18332,0.31061
MAHARASHTRA,2012-08,15489.92245,22.66275,26.77341,0.87049
UTTARAKHAND,2010-01,237.29211,6.67357,19.59951,0.69923
ANDHRA PRADESH,2013-10,4210.40468,21.66927,29.83023,0.81252
MIZORAM,2001-06,1252.71826,22.55299,29.25449,0.88784
MIZORAM,2005-08,756.36976,22.91228,31.70523,0.85513
TRIPURA,2006-07,1441.00228,24.86273,31.05707,0.88978
LADAKH,2011-03,131.13555,-21.63235,-4.20639,0.82589
TAMILNADU,2004-08,2530.85396,24.10836,33.72095,0.63363
JAMMU AND KASHMIR,2008-03,586.85590,4.44087,20.37355,0.41231
TRIPURA,2007-12,4.43072,12.58143,25.10589,0.77308
TELANGANA,2013-04,55.55693,24.92290,40.74379,0.30343
ANDHRA PRADESH,2006-08,3426.62995,24.56637,32.23750,0.69348
GUJARAT,2000-04,1507.14702,24.03136,38.84765,0.44335
PUDUCHERRY,2007-05,168.83756,28.38652,40.75918,0.52437
DAMAN AND DIU,2002-07,737.71902,28.16774,28.97348,0.80770
CHANDIGARH,2005-03,14.35603,13.33894,32.14177,0.40652
MANIPUR,2011-01,88.45194,4.49720,22.11720,0.79557
GOA,2011-12,2.11830,24.90018,30.39534,0.60444
ARUNACHAL PRADESH,2010-02,1095.07843,7.50089,18.93672,0.77092
ANDHRA PRADESH,2005-12,443.61512,17.32752,27.77074,0.69340
JAMMU AND KASHMIR,2009-08,961.63874,15.91451,29.62813,0.53900
MAHARASHTRA,2005-09,9848.27614,22.57467,28.24715,0.86433
CHATISGARH,2003-07,8196.38574,24.61254,31.62248,0.80316
WEST BENGAL,2005-02,137.17997,16.60156,31.47036,0.46561
TELANGANA,2006-06,1541.68109,26.18570,36.16591,0.52987
TELANGANA,2012-04,65.39719,25.39561,40.90581,0.29910
HARYANA,2006-05,1364.72488,28.22138,44.34355,0.24612
JAMMU AND KASHMIR,2011-08,4238.91931,15.77248,26.12441,0.75627
PUDUCHERRY,2008-04,39.64606,25.66565,37.97302,0.58414
LADAKH,2010-03,126.32733,-12.78931,-1.42056,0.79095
TAMILNADU,2005-03,1843.39082,21.81702,35.20813,0.62483
ANDHRA PRADESH,2000-11,525.35516,18.05289,30.94552,0.66884
NAGALAND,2012-10,2843.10021,13.14274,23.17942,0.90109
TELANGANA,2013-12,8.50005,13.14400,27.74273,0.55800
HARYANA,2007-12,805.02903,8.43938,23.78595,0.40224
PUNJAB,2009-03,228.24574,12.93767,33.09651,0.41960
ORISSA,2009-06,4850.19919,28.15727,39.96709,0.51346
NAGALAND,2002-01,200.63269,2.95358,17.56376,0.79361
PUDUCHERRY,2003-02,21.13066,21.84598,35.24362,0.66246
CHANDIGARH,2013-02,185.28449,8.27650,20.06004,0.80690
HIMACHAL PRADESH,2012-04,1338.25936,15.60283,29.27111,0.42601
ARUNACHAL PRADESH,2001-05,5454.84912,16.45936,26.71350,0.79411
JAMMU AND KASHMIR,2002-10,457.08532,8.10176,23.70876,0.34597
HIMACHAL PRADESH,2000-08,3225.22331,18.91547,30.05915,0.69366
ANDAMAN AND NICOBAR ISLANDS,2012-06,55.37724,28.49447,30.76460,0.71022
ANDHRA PRADESH,2012-08,2102.72621,23.81761,32.06974,0.67801
KARNATAKA,2013-07,11523.57357,21.61797,25.24942,0.84080
GUJARAT,2000-10,1884.82102,23.35505,36.61335,0.48676
MAHARASHTRA,2001-05,1662.36887,26.89982,39.21368,0.39967
HARYANA,2002-10,1646.21541,18.37953,35.91081,0.34692
HARYANA,2002-12,1082.75290,9.26748,25.50254,0.41903
TAMILNADU,2011-04,7004.86969,22.94292,34.51846,0.64897
MIZORAM,2001-09,569.24771,21.98293,31.95966,0.86587
MIZORAM,2010-10,744.91010,20.67684,31.52573,0.86600
MIZORAM,2013-07,1540.71466,22.84941,30.39884,0.90307
KERALA,2009-08,7331.47374,24.47265,27.63146,0.86264
TRIPURA,2006-02,10.39102,15.73938,32.86257,0.53152
WEST BENGAL,2012-07,12213.51661,26.10208,30.71103,0.86255
MADHAYA PRADESH,2013-03,365.39941,16.70516,35.42259,0.24402
RAJASTHAN,2001-11,162.39910,13.26767,31.66667,0.25359
KERALA,2001-01,295.24050,23.48019,30.95507,0.64782
PUNJAB,2011-04,980.68664,19.24216,35.52093,0.37680
TELANGANA,2007-09,4704.00727,22.72783,29.23786,0.86212
NAGALAND,2008-08,2812.70731,18.51555,23.85552,0.94498
HARYANA,2000-09,1306.80428,23.98445,38.53301,0.42708
PUDUCHERRY,2010-07,85.94315,26.48206,36.40882,0.56197
MIZORAM,2000-11,8.22144,14.75627,29.20424,0.71505
KERALA,2002-08,7585.72439,24.48930,27.23996,0.86184
NEW DELHI,2006-05,0.90423,28.51106,45.00297,0.15831
NEW DELHI,2005-04,0.00572,19.08897,38.65423,0.12958
NEW DELHI,2004-09,20.73155,23.71817,38.10547,0.41371
ANDAMAN AND NICOBAR ISLANDS,2006-04,20.40220,28.71823,30.08783,0.75765
HIMACHAL PRADESH,2011-08,7410.36450,20.97189,27.37225,0.85864
UTTAR PRADESH,2003-01,1402.00248,6.52258,23.14796,0.53885
ARUNACHAL PRADESH,2006-07,4712.07268,20.26426,28.48783,0.82782
JAMMU AND KASHMIR,2007-03,2887.39905,2.19620,14.17837,0.66973
LADAKH,2004-07,5.88842,0.44976,14.27677,0.40109
UTTARAKHAND,2010-06,1355.94502,24.21306,37.19894,0.34894
ARUNACHAL PRADESH,2010-09,5710.67889,18.22870,25.07145,0.89988
MADHAYA PRADESH,2000-03,75.80053,14.44215,34.86832,0.18066
SIKKIM,2006-12,0.97332,7.77803,19.15119,0.43709
ANDHRA PRADESH,2000-03,3.87271,20.08089,37.31706,0.47080
RAJASTHAN,2010-12,368.03448,9.34412,23.82344,0.45454
WEST BENGAL,2000-09,8996.56147,24.56160,30.76844,0.84144
BIHAR,2008-01,1407.59067,10.68259,24.53826,0.51541
KARNATAKA,2012-05,1844.30256,22.71891,35.60194,0.57350
MADHAYA PRADESH,2007-06,7666.60191,27.98289,38.43059,0.48130
MEGHALAYA,2000-06,2282.91959,22.69515,28.73648,0.89078
MEGHALAYA,2006-08,765.34940,22.89148,30.89621,0.81962
KERALA,2007-10,6786.52749,24.63497,28.94486,0.81565
TAMILNADU,2010-05,4181.76299,26.41441,37.75053,0.59883
MANIPUR,2013-11,0.99950,9.73129,27.52947,0.73375
ANDHRA PRADESH,2009-11,2950.40260,21.02622,29.09434,0.80367
TELANGANA,2000-11,75.48053,15.41235,32.10809,0.49153
JHARKHAND,2002-08,8444.73534,24.52234,30.45919,0.84066
TRIPURA,2012-12,10.80695,12.28023,25.73249,0.68546
DAMAN AND DIU,2002-04,0.02403,27.17000,29.61618,0.68437
DAMAN AND DIU,2004-06,1037.15044,28.66417,29.73238,0.79912
DAMAN AND DIU,2011-12,0.00343,24.89350,27.81810,0.56235
GOA,2013-02,25.81787,25.15813,30.00239,0.62828
GOA,2009-12,5.76954,23.86831,31.26227,0.62020
HIMACHAL PRADESH,2005-11,1142.06587,7.40288,22.12037,0.28736
HIMACHAL PRADESH,2013-11,450.23977,8.83787,22.01732,0.45051
DADRA AND NAGAR HAVELI,2006-03,59.60428,25.65790,28.66581,0.62346
ARUNACHAL PRADESH,2003-10,3568.71833,15.27307,23.53829,0.83140
UTTAR PRADESH,2010-03,567.54348,17.62166,36.85312,0.33859
MADHAYA PRADESH,2011-02,142.32136,12.49905,30.20800,0.39107
JHARKHAND,2012-08,5096.78930,23.76854,29.83590,0.84620
NAGALAND,2006-06,1857.92297,17.59601,24.23511,0.92432
ASSAM,2006-05,5754.54009,21.75126,35.28870,0.64116
BIHAR,2002-12,1426.74838,11.03502,27.08652,0.48016
BIHAR,2006-12,590.54403,11.99856,27.08636,0.47755
LAKSHADWEEP,2008-04,104.02593,28.18087,29.66913,0.78986
WEST BENGAL,2012-05,996.83098,27.15681,40.49933,0.51952
ANDHRA PRADESH,2009-10,1575.71736,21.67814,32.22327,0.68252
ASSAM,2009-08,15905.21814,24.32883,30.76134,0.89745
JHARKHAND,2008-02,317.29442,12.31082,27.10513,0.44305
TRIPURA,2013-01,0.03462,10.39454,26.03139,0.51532
TAMILNADU,2000-06,3269.70008,24.38030,33.17053,0.63690
MAHARASHTRA,2007-02,46.45578,17.94656,31.79143,0.38586
GUJARAT,2009-11,2970.88775,20.56523,31.73770,0.49361
BIHAR,2010-01,263.34891,9.27249,24.13399,0.65921
LAKSHADWEEP,2004-08,577.44915,26.70068,27.55942,0.82289
KERALA,2003-12,197.12088,23.00935,30.59956,0.67477
LADAKH,2005-05,127.26417,-9.88918,1.93694,0.78123
HARYANA,2012-02,126.35299,7.32750,23.15573,0.52688
CHATISGARH,2002-02,42.78173,14.62390,32.96100,0.34549
PUDUCHERRY,2004-09,379.71666,25.03153,33.50960,0.72453
HARYANA,2003-04,806.46959,21.25398,39.42937,0.24269
PUNJAB,2012-07,951.86985,29.10357,41.70027,0.49599
DAMAN AND DIU,2005-09,1002.41412,27.20640,28.41532,0.82003
CHANDIGARH,2013-06,113.84066,28.37357,40.92717,0.44314
CHANDIGARH,2009-10,16.86745,17.07013,33.46329,0.36742
DAMAN AND DIU,2012-02,0.00687,22.35824,25.20564,0.55903
NEW DELHI,2012-02,0.12817,6.52910,22.56803,0.52210
ARUNACHAL PRADESH,2005-11,213.71253,9.43679,22.12194,0.65509
JAMMU AND KASHMIR,2006-12,1653.60980,-0.18877,10.17737,0.58668
UTTAR PRADESH,2013-04,848.03422,22.84891,39.44639,0.26547
LADAKH,2006-11,66.14843,-13.10318,-2.52892,0.55542
MADHAYA PRADESH,2003-09,14942.66553,22.56809,28.94882,0.87043
GUJARAT,2006-06,4120.27872,27.74722,36.19652,0.61656
ORISSA,2001-03,481.69420,19.69294,37.34126,0.51485
ORISSA,2005-12,682.14173,12.99370,26.77718,0.58354
UTTARAKHAND,2010-09,6546.74542,19.86496,26.69850,0.84158
LADAKH,2000-12,41.84075,-18.43329,-6.27982,0.63009
TAMILNADU,2007-12,5488.89671,19.72583,28.56711,0.76237
TAMILNADU,2009-03,3235.68367,20.75187,34.92445,0.58164
TAMILNADU,2013-08,3989.84206,23.09703,32.18800,0.67671
MAHARASHTRA,2006-02,48.64645,17.52997,34.11415,0.29760
MAHARASHTRA,2013-01,125.80873,15.81250,30.08934,0.42660
KARNATAKA,2009-10,5417.95905,19.54751,28.51266,0.75289
KERALA,2006-02,50.48745,22.70841,31.98239,0.62388
MIZORAM,2011-05,925.16587,21.57777,33.18672,0.80611
ASSAM,2005-03,2099.35031,16.71050,30.89813,0.60138
RAJASTHAN,2000-03,44.67691,13.74564,33.63647,0.16941
PUDUCHERRY,2010-03,0.07038,22.15776,37.33087,0.61170
GUJARAT,2010-04,1320.10234,24.54454,38.98791,0.45394
LAKSHADWEEP,2003-03,74.78371,27.86319,29.56506,0.77280
CHATISGARH,2007-09,5880.00109,23.46841,30.56152,0.85463
LADAKH,2009-01,82.71761,-19.82385,-6.84052,0.78340
PUDUCHERRY,2007-06,209.29644,27.16932,37.29942,0.57201
JHARKHAND,2007-07,10277.67719,25.04879,30.54640,0.83084
BIHAR,2009-09,8655.45722,25.06374,33.30343,0.78315
CHATISGARH,2009-02,6.67835,13.71984,34.98101,0.31902
CHANDIGARH,2003-05,0.00000,24.50384,42.29590,0.10578
MANIPUR,2002-11,292.53591,12.87164,25.18237,0.79379
MANIPUR,2008-11,5.73778,11.84544,26.86459,0.71425
DAMAN AND DIU,2005-06,1278.96549,28.83185,29.91843,0.80024
DAMAN AND DIU,2007-08,1321.49395,27.56287,28.50897,0.81908
MANIPUR,2006-01,0.34676,4.86281,24.02836,0.64130
GOA,2007-12,1.39904,24.01813,31.59105,0.56488
HIMACHAL PRADESH,2005-12,334.52806,3.41122,18.58870,0.28666
HIMACHAL PRADESH,2006-07,3117.89089,21.27427,29.80047,0.68425
HIMACHAL PRADESH,2012-05,372.09712,19.61338,35.14609,0.29866
JAMMU AND KASHMIR,2001-02,665.56519,-0.91760,13.30359,0.43991
JAMMU AND KASHMIR,2001-03,983.43824,1.91807,17.67771,0.48396
JAMMU AND KASHMIR,2001-07,3659.82947,17.22335,29.24158,0.60134
JAMMU AND KASHMIR,2004-11,529.67904,3.09580,17.61006,0.37141
DADRA AND NAGAR HAVELI,2011-11,119.98444,26.86393,29.44150,0.60018
ARUNACHAL PRADESH,2009-11,1028.05255,10.88960,21.33827,0.80358
MADHAYA PRADESH,2011-05,395.75978,27.12425,42.37831,0.24227
ANDAMAN AND NICOBAR ISLANDS,2009-01,75.77918,26.21671,27.01281,0.73283
KARNATAKA,2013-06,9044.65908,22.04559,27.29591,0.79766
MADHAYA PRADESH,2002-01,110.14176,8.74150,26.43458,0.40974
LAKSHADWEEP,2001-02,40.91663,26.53125,28.01789,0.78861
BIHAR,2000-05,3381.80995,27.61020,41.37706,0.41330
RAJASTHAN,2009-03,46.17751,17.06383,35.72590,0.21681
ORISSA,2006-10,4282.05878,20.99285,32.15395,0.70603
ASSAM,2000-12,111.79276,8.57676,25.59006,0.71654
PUDUCHERRY,2003-03,85.32428,22.38318,36.56237,0.64472
MANIPUR,2013-07,3655.69048,21.67325,28.44989,0.92663
RAJASTHAN,2004-05,998.21186,27.19145,42.40809,0.24832
HARYANA,2004-02,138.74868,9.53601,27.01565,0.46457
RAJASTHAN,2006-09,1579.51444,23.80122,35.66344,0.56137
PUNJAB,2007-12,639.80347,8.19678,23.20610,0.39816
TRIPURA,2010-11,40.78246,17.15864,28.84395,0.79496
WEST BENGAL,2003-04,1909.91235,25.30690,39.76207,0.49459
MAHARASHTRA,2008-03,953.33383,21.33351,35.65048,0.36736
NAGALAND,2007-02,508.19837,5.39957,17.41159,0.83171
MANIPUR,2010-06,1704.21119,20.25599,27.02719,0.91300
TRIPURA,2011-06,1569.89486,25.01522,30.85955,0.87573
GUJARAT,2005-05,2484.81558,26.13455,38.65252,0.49456
MANIPUR,2004-08,1892.60389,20.75783,28.86452,0.90133
CHATISGARH,2007-11,215.72319,14.06875,30.31342,0.53313
SIKKIM,2006-01,0.00000,5.89210,19.20798,0.27028
NEW DELHI,2004-06,28.87287,28.95150,41.75183,0.31304
GOA,2005-01,0.90637,22.78719,30.66437,0.57341
GOA,2007-01,0.00000,23.02429,31.66450,0.54330
DAMAN AND DIU,2013-04,0.00000,26.43363,28.23628,0.72041
CHANDIGARH,2006-09,46.36833,22.41923,36.08363,0.56954
CHANDIGARH,2007-11,0.03433,12.44933,30.46027,0.23513
ARUNACHAL PRADESH,2006-05,2736.43330,17.12069,27.87027,0.67781
HIMACHAL PRADESH,2000-12,275.96862,3.75544,19.47030,0.41659
ARUNACHAL PRADESH,2013-04,6031.54364,13.42956,20.88323,0.82100
HIMACHAL PRADESH,2012-07,4208.64153,22.47359,32.44251,0.68068
ANDAMAN AND NICOBAR ISLANDS,2003-03,65.24359,27.52516,28.58300,0.77288
ANDAMAN AND NICOBAR ISLANDS,2013-04,28.74200,28.92417,30.09900,0.74240
MADHAYA PRADESH,2001-06,6530.96410,26.28686,35.97200,0.55483
MADHAYA PRADESH,2008-07,16199.51126,24.14255,30.62085,0.78410
MADHAYA PRADESH,2012-04,618.26587,22.19471,39.97134,0.21809
HIMACHAL PRADESH,2013-09,1902.84894,18.45631,28.40530,0.73551
JAMMU AND KASHMIR,2002-07,163.56885,16.84216,33.33429,0.26700
DADRA AND NAGAR HAVELI,2008-10,280.84202,26.92116,29.64023,0.69223
ANDAMAN AND NICOBAR ISLANDS,2010-11,434.67260,27.54210,28.59597,0.77129
ANDAMAN AND NICOBAR ISLANDS,2013-10,176.39580,27.49616,29.27945,0.75805
WEST BENGAL,2012-08,9604.72487,25.47415,30.36816,0.87071
TAMILNADU,2012-03,834.52139,20.51484,35.52029,0.56341
JHARKHAND,2013-07,6148.27968,24.74487,31.22417,0.80270
MAHARASHTRA,2002-06,13750.96480,25.93830,33.78369,0.64680
SIKKIM,2006-05,3.00064,18.58902,30.31426,0.43486
MADHAYA PRADESH,2009-06,3967.32132,28.83972,41.06076,0.33310
NAGALAND,2001-06,3620.81001,18.25633,23.89155,0.94241
JHARKHAND,2009-08,6296.04645,25.14029,31.76536,0.81615
ORISSA,2007-04,1106.11745,23.45185,40.90714,0.47133
ORISSA,2012-04,1321.71966,22.98356,41.07473,0.43620
LAKSHADWEEP,2006-04,71.84859,28.17933,29.64003,0.80139
ASSAM,2005-06,3717.39790,23.55525,37.23194,0.64509
ASSAM,2011-11,364.66357,12.43901,27.23298,0.69654
PUDUCHERRY,2005-02,35.68667,20.59148,33.96187,0.66699
JAMMU AND KASHMIR,2002-08,1691.66660,16.25712,30.23107,0.52496
LAKSHADWEEP,2000-05,627.39143,28.13671,29.37345,0.78783
ANDHRA PRADESH,2004-04,352.37584,25.78965,40.13623,0.50961
CHATISGARH,2003-06,4336.01649,26.98527,39.28606,0.48047
ASSAM,2004-05,5759.82451,21.17694,33.01602,0.73823
PUDUCHERRY,2004-12,69.43360,21.22852,28.54645,0.78859
NAGALAND,2011-01,254.58077,2.87983,16.99000,0.84708
DAMAN AND DIU,2001-08,640.04807,27.20868,27.95881,0.82585
DAMAN AND DIU,2005-07,1274.57713,28.13897,29.00060,0.81561
JAMMU AND KASHMIR,2006-06,360.72868,14.24739,30.25462,0.34058
ARUNACHAL PRADESH,2007-05,4536.72744,17.56330,27.09416,0.76935
LADAKH,2006-12,49.62387,-22.41179,-6.51224,0.73864
MAHARASHTRA,2001-09,4003.73612,22.84869,33.10581,0.66806
MADHAYA PRADESH,2011-09,12680.60428,22.03807,29.03361,0.86306
MEGHALAYA,2000-07,1328.42314,22.76097,29.21455,0.86837
MEGHALAYA,2003-03,355.84930,14.40514,29.33962,0.55009
KERALA,2008-07,8983.80269,24.76400,28.14469,0.83261
KARNATAKA,2011-09,5829.04971,20.55984,27.44281,0.81380
SIKKIM,2007-04,49.51186,16.59283,28.65157,0.39278
JAMMU AND KASHMIR,2005-07,4541.91570,15.83501,25.92683,0.73032
ASSAM,2005-12,191.55858,9.20981,26.03452,0.71893
LAKSHADWEEP,2004-07,842.22335,26.54977,27.38352,0.81651
MAHARASHTRA,2011-03,95.28472,20.06070,36.29816,0.30311
HARYANA,2002-06,1937.01216,29.25208,43.81879,0.31205
PUDUCHERRY,2000-05,56.79759,27.90268,40.01294,0.50726
BIHAR,2007-12,1125.43181,11.25779,25.82425,0.48072
LAKSHADWEEP,2009-03,82.01063,27.53842,29.16452,0.77993
KARNATAKA,2004-09,7212.16623,20.47165,28.43449,0.82124
TELANGANA,2010-11,1022.31597,19.80396,28.92022,0.79422
LAKSHADWEEP,2001-11,159.09805,27.13753,28.40293,0.76672
TRIPURA,2004-03,66.90674,18.59951,35.84060,0.51428
CHANDIGARH,2001-06,9.13067,29.48627,42.75563,0.29069
GUJARAT,2004-09,4804.12702,25.06701,33.15853,0.70133
CHATISGARH,2008-03,589.19155,19.13797,37.20072,0.33429
TELANGANA,2009-02,0.00472,17.77640,35.58554,0.33737
PUNJAB,2000-06,958.90041,29.55630,44.29758,0.30508
ORISSA,2008-05,2826.68669,25.55755,42.04351,0.44055
NEW DELHI,2013-06,64.33811,28.95383,41.69337,0.34821
MANIPUR,2002-02,0.80852,7.01803,25.89349,0.58998
LAKSHADWEEP,2009-12,131.37989,26.93361,28.49677,0.74203
GOA,2010-10,749.47527,24.25929,29.25974,0.81798
DAMAN AND DIU,2010-01,2.75002,23.05744,26.42245,0.56723
GOA,2000-01,6.63643,23.04150,31.62642,0.51578
DAMAN AND DIU,2009-10,33.29201,27.57819,29.90013,0.66277
ARUNACHAL PRADESH,2001-03,680.60606,10.20307,24.06492,0.52353
HIMACHAL PRADESH,2002-06,1191.42999,21.86454,35.70230,0.32513
HIMACHAL PRADESH,2011-09,4571.42736,18.57047,27.22899,0.76933
