Month,District_State,MaxTemperature
2005-12,"BELGAUM, KARNATAKA",33.03900
2005-12,"KOLHAPUR, MAHARASHTRA",32.93750
2006-05,"JHARSUGUDA, ORISSA",51.97800
2006-05,"BHATINDA, PUNJAB",51.00700
2006-05,"UNNAO, UTTAR PRADESH",50.93600
2006-05,"HISSAR, HARYANA",50.72900
2006-05,"FARIDKOT, PUNJAB",50.72500
2006-05,"SIRSA, HARYANA",50.53800
2006-05,"RAE BARELI, UTTAR PRADESH",50.50350
2006-05,"HARDOI, UTTAR PRADESH",50.44700
2006-05,"TIKAMGARH, MADHAYA PRADESH",50.44300
2006-05,"SHAHJAHANPUR, UTTAR PRADESH",50.35900
2008-09,"FARIDKOT, PUNJAB",44.75200
2008-09,"FEROZEPORE, PUNJAB",44.09000
2008-09,"GANGANAGAR, RAJASTHAN",43.88200
2008-09,"SIVAGANGA, TAMILNADU",43.08400
2008-09,"CHENNAI, TAMILNADU",42.59400
2008-09,"SIRSA, HARYANA",42.24800
2008-09,"HANUMANGARH, RAJASTHAN",42.22100
2008-09,"SURENDRANAGAR, GUJARAT",42.05850
2008-09,"BHATINDA, PUNJAB",41.91600
2008-09,"RAMANATHAPURA, TAMILNADU",41.90200
2006-04,"JANJGIR, CHATISGARH",49.29100
2006-04,"JHARSUGUDA, ORISSA",48.84300
2006-04,"SAMBALPUR, ORISSA",48.84300
2006-04,"SUNDARGARH, ORISSA",48.77500
2006-04,"BARGARH, ORISSA",48.71350
2006-04,"SIMDEGA, JHARKHAND",48.70700
2006-04,"KORBA, CHATISGARH",48.70550
2006-04,"BILASPUR, CHATISGARH",48.55000
2006-04,"SONEPUR, ORISSA",48.48300
2006-04,"CHENNAI, TAMILNADU",48.40000
2007-08,"FARIDKOT, PUNJAB",48.16300
2007-08,"FEROZEPORE, PUNJAB",48.09500
2007-08,"GANGANAGAR, RAJASTHAN",47.96000
2007-08,"AMRITSAR, PUNJAB",47.55950
2007-08,"BHATINDA, PUNJAB",47.10300
2007-08,"SANGRUR, PUNJAB",46.86200
2007-08,"JULLUNDAR, PUNJAB",46.07500
2007-08,"LUDHIANA, PUNJAB",45.49950
2007-08,"KAPURTHALA, PUNJAB",45.29000
2007-08,"JAMMU, JAMMU AND KASHMIR",44.47650
2010-02,"HAVERI, KARNATAKA",40.35200
2010-02,"DANTEWARA, CHATISGARH",40.24450
