Month,District_State,TotalPrecipitation
2001-06,"PAPAMPARE, ARUNACHAL PRADESH",1170.35559
2001-06,"NORTH TRIPURA, TRIPURA",1138.19694
2001-06,"HAILAKANDI, ASSAM",1094.98924
2001-06,"LAKSHADWEEP, LAKSHADWEEP",1090.01377
2001-06,"KASARGOD, KERALA",1075.38351
2001-06,"KANNUR, KERALA",1056.59533
2005-12,"VILLUPURAM, TAMILNADU",281.53017
2005-12,"KANCHEEPURAM, TAMILNADU",264.09441
2005-12,"CUDDALORE, TAMILNADU",253.94785
2005-12,"KOLLAM, KERALA",246.55748
2005-12,"BAY ISLANDS, ANDAMAN AND NICOBAR ISLANDS",245.92798
2005-12,"ALAPPUZHA, KERALA",238.98067
2005-12,"THENI, TAMILNADU",238.85889
2005-12,"TIRUVANNAMALAI, TAMILNADU",237.74210
2005-12,"DINDIGUL, TAMILNADU",235.31967
2005-12,"KARUR, TAMILNADU",232.73023
2006-05,"MON, NAGALAND",715.80647
2006-05,"NORTH TRIPURA, TRIPURA",688.29907
2006-05,"THRISSUR, KERALA",687.00402
2006-05,"ALAPPUZHA, KERALA",647.21029
2006-05,"SOUTH GOA, GOA",623.81386
2006-05,"PATHANAMTHITTA, KERALA",578.06367
2006-05,"LAKSHADWEEP, LAKSHADWEEP",565.28569
2006-05,"JAINTIA HILLS, MEGHALAYA",564.08265
2006-05,"KASARGOD, KERALA",560.73705
2006-05,"KOTTAYAM, KERALA",558.71943
2008-09,"NORTH TRIPURA, TRIPURA",800.75834
2008-09,"CHURACHANDPUR, MANIPUR",662.01034
2008-09,"UPPER SUBANSIRI, ARUNACHAL PRADESH",627.48077
2008-09,"MON, NAGALAND",611.83892
2008-09,"PAPAMPARE, ARUNACHAL PRADESH",608.81597
2008-09,"HAILAKANDI, ASSAM",574.27603
2008-09,"HARDOI, UTTAR PRADESH",571.48132
2008-09,"ALMORA, UTTARAKHAND",571.32337
2008-09,"LAKHIMPUR, ASSAM",570.97381
2008-09,"SHAHJAHANPUR, UTTAR PRADESH",568.38744
2006-04,"UPPER SUBANSIRI, ARUNACHAL PRADESH",227.52773
2006-04,"KARBI ANGLONG, ASSAM",199.24737
2006-04,"DIBANG VALLEY, ARUNACHAL PRADESH",194.83694
2006-04,"NORTH TRIPURA, TRIPURA",190.56988
2006-04,"THENI, TAMILNADU",178.48019
2006-04,"PULWAMA, JAMMU AND KASHMIR",174.06635
2006-04,"KARGIL, JAMMU AND KASHMIR",159.99016
2006-04,"PHEK, NAGALAND",157.85980
2006-04,"UPPER SIANG, ARUNACHAL PRADESH",154.18797
2006-04,"EAST KHASI HILLS, MEGHALAYA",139.98836
2007-08,"SOUTH GOA, GOA",1572.60762
2007-08,"KANARA NORTH, KARNATAKA",1282.86345
2007-08,"SINDHUDURG, MAHARASHTRA",1226.09937
2007-08,"KASARGOD, KERALA",1174.66391
2007-08,"UDUPI, KARNATAKA",1165.40914
2007-08,"NORTH GOA, GOA",1160.78532
2007-08,"SHIMOGA, KARNATAKA",1138.92583
2007-08,"PAPAMPARE, ARUNACHAL PRADESH",1126.11833
2007-08,"RATNAGIRI, MAHARASHTRA",1110.15631
2007-08,"KANARA SOUTH, KARNATAKA",1107.01362
2010-02,"PULWAMA, JAMMU AND KASHMIR",662.76913
2010-02,"BADGAM, JAMMU AND KASHMIR",543.26625
2010-02,"BARAMULLA, JAMMU AND KASHMIR",514.91893
2010-02,"ANANTNAG, JAMMU AND KASHMIR",422.84603
2010-02,"KUPWARA, JAMMU AND KASHMIR",346.46758
2010-02,"DODA, JAMMU AND KASHMIR",303.21528
2010-02,"SRINAGAR, JAMMU AND KASHMIR",300.65034
2010-02,"UPPER SUBANSIRI, ARUNACHAL PRADESH",229.80650
2010-02,"DIBANG VALLEY, ARUNACHAL PRADESH",210.05517
2010-02,"KARGIL, JAMMU AND KASHMIR",196.62267
2001-05,"NORTH TRIPURA, TRIPURA",904.80092
2001-05,"MON, NAGALAND",885.50237
2001-05,"KARBI ANGLONG, ASSAM",876.07085
2001-05,"JAINTIA HILLS, MEGHALAYA",816.87562
2001-05,"UPPER SUBANSIRI, ARUNACHAL PRADESH",781.79135
2001-05,"SENAPATI, MANIPUR",748.39559
2001-05,"EAST KHASI HILLS, MEGHALAYA",736.71764
2001-05,"PHEK, NAGALAND",718.78817
2001-05,"GOLAGHAT, ASSAM",718.68270
2001-05,"LAKHIMPUR, ASSAM",673.32661
2005-02,"PULWAMA, JAMMU AND KASHMIR",830.95607
2005-02,"BADGAM, JAMMU AND KASHMIR",688.56641
2005-02,"BARAMULLA, JAMMU AND KASHMIR",624.77880
2005-02,"ANANTNAG, JAMMU AND KASHMIR",621.01711
2005-02,"DODA, JAMMU AND KASHMIR",521.99657
2005-02,"KUPWARA, JAMMU AND KASHMIR",367.21977
2005-02,"SRINAGAR, JAMMU AND KASHMIR",358.08220
2005-02,"KINNAUR, HIMACHAL PRADESH",259.92709
2005-02,"CHAMBA, HIMACHAL PRADESH",256.80284
2005-02,"LAHUL AND SPITI, HIMACHAL PRADESH",248.54593
2001-11,"DINDIGUL, TAMILNADU",469.79512
2001-11,"THENI, TAMILNADU",452.46526
2001-11,"ALAPPUZHA, KERALA",424.34523
2001-11,"IDUKKI, KERALA",422.96205
2001-11,"KOTTAYAM, KERALA",416.78468
2001-11,"KARUR, TAMILNADU",407.78731
