Month,District_State,MinTemperature
2013-06,"ANANTNAG, JAMMU AND KASHMIR",8.57500
2013-06,"LAHUL AND SPITI, HIMACHAL PRADESH",9.36150
2013-06,"BADGAM, JAMMU AND KASHMIR",11.29000
2013-06,"SRINAGAR, JAMMU AND KASHMIR",11.29000
2001-06,"LADAKH, LADAKH",-4.79500
2001-06,"KARGIL, JAMMU AND KASHMIR",-3.69200
2001-06,"KINNAUR, HIMACHAL PRADESH",4.70000
2001-06,"LAHUL AND SPITI, HIMACHAL PRADESH",6.40050
2001-06,"PULWAMA, JAMMU AND KASHMIR",6.62900
2001-06,"BARAMULLA, JAMMU AND KASHMIR",7.23400
2001-06,"KUPWARA, JAMMU AND KASHMIR",9.22200
2001-06,"SRINAGAR, JAMMU AND KASHMIR",9.32000
2001-06,"BADGAM, JAMMU AND KASHMIR",9.32000
2001-06,"KULU, HIMACHAL PRADESH",9.40700
2005-12,"KARGIL, JAMMU AND KASHMIR",-31.54100
2005-12,"LADAKH, LADAKH",-22.49800
2005-12,"KINNAUR, HIMACHAL PRADESH",-9.00550
2005-12,"LAHUL AND SPITI, HIMACHAL PRADESH",-8.81800
2005-12,"BARAMULLA, JAMMU AND KASHMIR",-6.92100
2005-12,"PULWAMA, JAMMU AND KASHMIR",-5.67500
2005-12,"KUPWARA, JAMMU AND KASHMIR",-5.36100
2005-12,"KULU, HIMACHAL PRADESH",-4.79900
2005-12,"SRINAGAR, JAMMU AND KASHMIR",-4.50200
2005-12,"BADGAM, JAMMU AND KASHMIR",-4.50200
2006-05,"KARGIL, JAMMU AND KASHMIR",-18.62600
2006-05,"LADAKH, LADAKH",-16.98900
2006-05,"KINNAUR, HIMACHAL PRADESH",0.95650
2006-05,"LAHUL AND SPITI, HIMACHAL PRADESH",1.58000
2006-05,"BARAMULLA, JAMMU AND KASHMIR",2.97100
2006-05,"PULWAMA, JAMMU AND KASHMIR",4.12900
2006-05,"KUPWARA, JAMMU AND KASHMIR",5.48900
2006-05,"BADGAM, JAMMU AND KASHMIR",6.96300
2006-05,"SRINAGAR, JAMMU AND KASHMIR",6.96300
2006-05,"PHEK, NAGALAND",7.73300
2008-09,"LADAKH, LADAKH",-6.39850
2008-09,"KARGIL, JAMMU AND KASHMIR",-5.38800
2008-09,"BARAMULLA, JAMMU AND KASHMIR",4.37500
2008-09,"KINNAUR, HIMACHAL PRADESH",4.46700
2008-09,"LAHUL AND SPITI, HIMACHAL PRADESH",4.57950
2008-09,"PULWAMA, JAMMU AND KASHMIR",5.42200
2008-09,"BADGAM, JAMMU AND KASHMIR",6.33400
2008-09,"SRINAGAR, JAMMU AND KASHMIR",6.57000
2008-09,"KUPWARA, JAMMU AND KASHMIR",7.02800
2008-09,"KULU, HIMACHAL PRADESH",7.70900
2006-04,"KARGIL, JAMMU AND KASHMIR",-24.04200
2006-04,"LADAKH, LADAKH",-23.76200
2006-04,"LAHUL AND SPITI, HIMACHAL PRADESH",-8.24600
2006-04,"KINNAUR, HIMACHAL PRADESH",-7.79050
2006-04,"BARAMULLA, JAMMU AND KASHMIR",-4.26100
2006-04,"PULWAMA, JAMMU AND KASHMIR",-3.57700
2006-04,"KUPWARA, JAMMU AND KASHMIR",-2.33700
2006-04,"BADGAM, JAMMU AND KASHMIR",-1.52400
2006-04,"SRINAGAR, JAMMU AND KASHMIR",-1.52400
2006-04,"ANANTNAG, JAMMU AND KASHMIR",0.74100
2007-08,"LADAKH, LADAKH",-0.90200
2007-08,"KARGIL, JAMMU AND KASHMIR",-0.50700
2007-08,"KINNAUR, HIMACHAL PRADESH",6.11650
2007-08,"LAHUL AND SPITI, HIMACHAL PRADESH",7.27100
2007-08,"KULU, HIMACHAL PRADESH",8.52300
2007-08,"BARAMULLA, JAMMU AND KASHMIR",8.88400
2007-08,"PULWAMA, JAMMU AND KASHMIR",9.35400
2007-08,"KUPWARA, JAMMU AND KASHMIR",9.83800
2007-08,"BADGAM, JAMMU AND KASHMIR",10.20200
2007-08,"SRINAGAR, JAMMU AND KASHMIR",10.65900
2010-02,"KARGIL, JAMMU AND KASHMIR",-24.89200
2010-02,"LADAKH, LADAKH",-23.44600
2010-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-11.68300
2010-02,"KINNAUR, HIMACHAL PRADESH",-9.87950
2010-02,"BARAMULLA, JAMMU AND KASHMIR",-7.25100
2010-02,"PULWAMA, JAMMU AND KASHMIR",-6.13900
2010-02,"KUPWARA, JAMMU AND KASHMIR",-5.92100
2010-02,"SRINAGAR, JAMMU AND KASHMIR",-4.74800
2010-02,"BADGAM, JAMMU AND KASHMIR",-4.74800
2010-02,"KULU, HIMACHAL PRADESH",-4.74600
2001-05,"KARGIL, JAMMU AND KASHMIR",-16.48300
2001-05,"LADAKH, LADAKH",-16.44700
2001-05,"KINNAUR, HIMACHAL PRADESH",1.01700
2001-05,"BARAMULLA, JAMMU AND KASHMIR",3.06000
2001-05,"PULWAMA, JAMMU AND KASHMIR",3.57600
2001-05,"LAHUL AND SPITI, HIMACHAL PRADESH",4.35600
2001-05,"SRINAGAR, JAMMU AND KASHMIR",5.87500
2001-05,"BADGAM, JAMMU AND KASHMIR",5.87500
2001-05,"KUPWARA, JAMMU AND KASHMIR",6.36400
2001-05,"TAWANG, ARUNACHAL PRADESH",8.07600
2005-02,"LADAKH, LADAKH",-34.57000
2005-02,"KARGIL, JAMMU AND KASHMIR",-31.91100
2005-02,"LAHUL AND SPITI, HIMACHAL PRADESH",-12.68400
2005-02,"KINNAUR, HIMACHAL PRADESH",-11.47950
2005-02,"BARAMULLA, JAMMU AND KASHMIR",-9.08500
2005-02,"PULWAMA, JAMMU AND KASHMIR",-8.31400
2005-02,"KUPWARA, JAMMU AND KASHMIR",-7.46800
2005-02,"BADGAM, JAMMU AND KASHMIR",-6.35300
2005-02,"SRINAGAR, JAMMU AND KASHMIR",-6.35300
2005-02,"ANANTNAG, JAMMU AND KASHMIR",-6.33000
2001-11,"KARGIL, JAMMU AND KASHMIR",-27.00500
2001-11,"LADAKH, LADAKH",-19.67300
2001-11,"LAHUL AND SPITI, HIMACHAL PRADESH",-9.05900
2001-11,"KINNAUR, HIMACHAL PRADESH",-5.60650
2001-11,"BARAMULLA, JAMMU AND KASHMIR",-4.76100
2001-11,"PULWAMA, JAMMU AND KASHMIR",-3.34700
2001-11,"KUPWARA, JAMMU AND KASHMIR",-2.65800
2001-11,"KULU, HIMACHAL PRADESH",-1.39600
2001-11,"BADGAM, JAMMU AND KASHMIR",-1.36300
2001-11,"SRINAGAR, JAMMU AND KASHMIR",-1.36300
2000-08,"KARGIL, JAMMU AND KASHMIR",-6.17200
2000-08,"LADAKH, LADAKH",-3.82550
2000-08,"KINNAUR, HIMACHAL PRADESH",3.37500
2000-08,"KULU, HIMACHAL PRADESH",4.21700
2000-08,"LAHUL AND SPITI, HIMACHAL PRADESH",6.92100
2000-08,"BARAMULLA, JAMMU AND KASHMIR",8.04300
2000-08,"PULWAMA, JAMMU AND KASHMIR",8.52700
2000-08,"WEST KAMENG, ARUNACHAL PRADESH",9.84800
2000-08,"KUPWARA, JAMMU AND KASHMIR",10.20800
2000-08,"BADGAM, JAMMU AND KASHMIR",10.21100
2004-04,"KARGIL, JAMMU AND KASHMIR",-17.42600
2004-04,"LADAKH, LADAKH",-14.87800
2004-04,"KINNAUR, HIMACHAL PRADESH",0.94900
2004-04,"BARAMULLA, JAMMU AND KASHMIR",1.65600
2004-04,"LAHUL AND SPITI, HIMACHAL PRADESH",2.23800
2004-04,"KUPWARA, JAMMU AND KASHMIR",2.61000
2004-04,"PULWAMA, JAMMU AND KASHMIR",2.68000
2004-04,"SRINAGAR, JAMMU AND KASHMIR",4.02400
2004-04,"BADGAM, JAMMU AND KASHMIR",4.02400
2004-04,"KULU, HIMACHAL PRADESH",5.11600
2006-09,"KARGIL, JAMMU AND KASHMIR",-6.11500
2006-09,"LADAKH, LADAKH",-5.72000
2006-09,"KINNAUR, HIMACHAL PRADESH",4.01600
2006-09,"LAHUL AND SPITI, HIMACHAL PRADESH",4.12150
2006-09,"BARAMULLA, JAMMU AND KASHMIR",4.89400
2006-09,"PULWAMA, JAMMU AND KASHMIR",5.33000
2006-09,"KULU, HIMACHAL PRADESH",6.35200
