Month,District_State,MinimumRelativeHumidity
2007-08,"SANGRUR, PUNJAB",0.29158
2007-08,"BIKANER, RAJASTHAN",0.29721
2007-08,"AMRITSAR, PUNJAB",0.29929
2007-08,"JAISALMER, RAJASTHAN",0.31110
2007-08,"JAMMU, JAMMU AND KASHMIR",0.31783
2007-08,"BHIWANI, HARYANA",0.33397
2007-08,"UDHAMPUR, JAMMU AND KASHMIR",0.33591
2007-08,"FEROZEPORE, PUNJAB",0.33919
2010-02,"BARMER, RAJASTHAN",0.10171
2010-02,"PALI, RAJASTHAN",0.10653
2010-02,"JODHPUR, RAJASTHAN",0.10767
2010-02,"SURENDRANAGAR, GUJARAT",0.10812
2010-02,"PATAN, GUJARAT",0.12030
2010-02,"KAIRA/KHEDA, GUJARAT",0.12079
2010-02,"AJMER, RAJASTHAN",0.12154
2010-02,"NANDURBAR, MAHARASHTRA",0.12159
2010-02,"JALORE, RAJASTHAN",0.12160
2010-02,"DHULIA, MAHARASHTRA",0.12384
2001-05,"AMRITSAR, PUNJAB",0.05935
2001-05,"JAMMU, JAMMU AND KASHMIR",0.06318
2001-05,"KAPURTHALA, PUNJAB",0.06829
2001-05,"GURDASPUR, PUNJAB",0.07478
2001-05,"UDHAMPUR, JAMMU AND KASHMIR",0.07625
2001-05,"SOLAN, HIMACHAL PRADESH",0.07650
2001-05,"FARIDKOT, PUNJAB",0.07660
2001-05,"JULLUNDAR, PUNJAB",0.07806
2001-05,"KATHUA, JAMMU AND KASHMIR",0.07901
2001-05,"CHANDIGARH, CHANDIGARH",0.07909
2005-02,"KAIRA/KHEDA, GUJARAT",0.10803
2005-02,"DHULIA, MAHARASHTRA",0.10803
2005-02,"PATAN, GUJARAT",0.11177
2005-02,"KHARGONE, MADHAYA PRADESH",0.11192
2005-02,"BARWANI, MADHAYA PRADESH",0.11391
2005-02,"SURENDRANAGAR, GUJARAT",0.11698
2005-02,"NANDURBAR, MAHARASHTRA",0.11997
2005-02,"JALGAON, MAHARASHTRA",0.12027
2005-02,"BARODA, GUJARAT",0.12127
2005-02,"BANASKANTHA, GUJARAT",0.12231
2001-11,"MANDI, HIMACHAL PRADESH",0.10310
2001-11,"UDHAMPUR, JAMMU AND KASHMIR",0.10784
2001-11,"DEHRA DUN, UTTARAKHAND",0.11598
2001-11,"KATHUA, JAMMU AND KASHMIR",0.12193
