Month,District_State,MaximumRelativeHumidity
2005-02,"PULWAMA, JAMMU AND KASHMIR",0.99593
2005-02,"BARAMULLA, JAMMU AND KASHMIR",0.99587
2005-02,"BADGAM, JAMMU AND KASHMIR",0.99585
2005-02,"KUPWARA, JAMMU AND KASHMIR",0.99049
2005-02,"ANANTNAG, JAMMU AND KASHMIR",0.98036
2005-02,"KINNAUR, HIMACHAL PRADESH",0.97065
2005-02,"DODA, JAMMU AND KASHMIR",0.97000
2005-02,"LOHARDAGA, JHARKHAND",0.96233
2005-02,"DIBANG VALLEY, ARUNACHAL PRADESH",0.96052
2005-02,"EAST SIANG, ARUNACHAL PRADESH",0.95895
2001-11,"SENAPATI, MANIPUR",0.98822
2001-11,"PHEK, NAGALAND",0.98761
2001-11,"N.C.HILLS, ASSAM",0.98541
2001-11,"MON, NAGALAND",0.98442
2001-11,"AIZWAL, MIZORAM",0.98348
2001-11,"HAILAKANDI, ASSAM",0.98287
2001-11,"NILGIRIS, TAMILNADU",0.98285
2001-11,"CACHAR, ASSAM",0.98216
2001-11,"CHURACHANDPUR, MANIPUR",0.98216
2001-11,"NORTH TRIPURA, TRIPURA",0.98179
2000-08,"NILGIRIS, TAMILNADU",0.98497
2000-08,"SENAPATI, MANIPUR",0.98495
2000-08,"PHEK, NAGALAND",0.98407
2000-08,"WEST KAMENG, ARUNACHAL PRADESH",0.98358
2000-08,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98342
2000-08,"N.C.HILLS, ASSAM",0.98272
2000-08,"MON, NAGALAND",0.98227
2000-08,"KARBI ANGLONG, ASSAM",0.98178
2000-08,"JAINTIA HILLS, MEGHALAYA",0.98111
2000-08,"PAPAMPARE, ARUNACHAL PRADESH",0.98091
2004-04,"PHEK, NAGALAND",0.98702
2004-04,"SENAPATI, MANIPUR",0.98682
2004-04,"MON, NAGALAND",0.98619
2004-04,"GOLAGHAT, ASSAM",0.98611
2004-04,"KARBI ANGLONG, ASSAM",0.98562
2004-04,"KOHIMA, NAGALAND",0.98363
2004-04,"N.C.HILLS, ASSAM",0.98013
2004-04,"TINSUKIA, ASSAM",0.97876
2004-04,"TUENSANG, NAGALAND",0.97809
2004-04,"LAKHIMPUR, ASSAM",0.97589
2006-09,"PHEK, NAGALAND",0.98601
2006-09,"NILGIRIS, TAMILNADU",0.98476
2006-09,"MON, NAGALAND",0.98432
2006-09,"SENAPATI, MANIPUR",0.98383
2006-09,"KARBI ANGLONG, ASSAM",0.98253
2006-09,"GOLAGHAT, ASSAM",0.98180
2006-09,"GOALPARA, ASSAM",0.98081
2006-09,"PULWAMA, JAMMU AND KASHMIR",0.98034
2006-09,"BADGAM, JAMMU AND KASHMIR",0.97955
2006-09,"WAYANAD, KERALA",0.97944
2002-04,"KARGIL, JAMMU AND KASHMIR",0.97004
2002-04,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.96668
2002-04,"GOALPARA, ASSAM",0.95930
2002-04,"MON, NAGALAND",0.95754
2002-04,"BARAMULLA, JAMMU AND KASHMIR",0.95463
2002-04,"UPPER SIANG, ARUNACHAL PRADESH",0.95075
2002-04,"PULWAMA, JAMMU AND KASHMIR",0.95048
2002-04,"PHEK, NAGALAND",0.94625
2002-04,"WEST SIANG, ARUNACHAL PRADESH",0.94461
2002-04,"EAST SIANG, ARUNACHAL PRADESH",0.94438
2003-07,"NILGIRIS, TAMILNADU",0.98337
2003-07,"MON, NAGALAND",0.98291
2003-07,"SENAPATI, MANIPUR",0.98194
2003-07,"PHEK, NAGALAND",0.98186
2003-07,"PAPAMPARE, ARUNACHAL PRADESH",0.97933
2003-07,"KARBI ANGLONG, ASSAM",0.97738
2003-07,"GOLAGHAT, ASSAM",0.97729
2003-07,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.97717
2003-07,"WAYANAD, KERALA",0.97597
2003-07,"WEST KAMENG, ARUNACHAL PRADESH",0.97550
2010-04,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.98478
2010-04,"GOLAGHAT, ASSAM",0.98423
2010-04,"KARBI ANGLONG, ASSAM",0.98422
2010-04,"MON, NAGALAND",0.98236
2010-04,"N.C.HILLS, ASSAM",0.98219
2010-04,"JAINTIA HILLS, MEGHALAYA",0.97994
2010-04,"PAPAMPARE, ARUNACHAL PRADESH",0.97732
2010-04,"LAKHIMPUR, ASSAM",0.97696
2010-04,"KOHIMA, NAGALAND",0.97623
2010-04,"UPPER SIANG, ARUNACHAL PRADESH",0.97586
2002-03,"BARAMULLA, JAMMU AND KASHMIR",0.99386
2002-03,"PULWAMA, JAMMU AND KASHMIR",0.98594
2002-03,"KINNAUR, HIMACHAL PRADESH",0.98314
2002-03,"BADGAM, JAMMU AND KASHMIR",0.97331
2002-03,"GOALPARA, ASSAM",0.97005
2002-03,"ANANTNAG, JAMMU AND KASHMIR",0.95475
2002-03,"UNA, HIMACHAL PRADESH",0.95229
2002-03,"PHEK, NAGALAND",0.94957
2002-03,"LAHUL AND SPITI, HIMACHAL PRADESH",0.94904
2002-03,"KARGIL, JAMMU AND KASHMIR",0.94439
2011-05,"N.C.HILLS, ASSAM",0.98762
2011-05,"KARIMGANJ, ASSAM",0.98508
2011-05,"PHEK, NAGALAND",0.98424
2011-05,"SENAPATI, MANIPUR",0.98396
2011-05,"KARBI ANGLONG, ASSAM",0.98342
2011-05,"GOLAGHAT, ASSAM",0.98240
2011-05,"CHURACHANDPUR, MANIPUR",0.98089
2011-05,"CACHAR, ASSAM",0.98078
2011-05,"EAST SIANG, ARUNACHAL PRADESH",0.98042
2011-05,"MON, NAGALAND",0.98033
2000-02,"BADGAM, JAMMU AND KASHMIR",0.99574
2000-02,"BARAMULLA, JAMMU AND KASHMIR",0.99424
2000-02,"PULWAMA, JAMMU AND KASHMIR",0.99285
2000-02,"MON, NAGALAND",0.98187
2000-02,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.97763
2000-02,"UPPER SIANG, ARUNACHAL PRADESH",0.96242
2000-02,"KARBI ANGLONG, ASSAM",0.96038
2000-02,"PHEK, NAGALAND",0.95941
2000-02,"NILGIRIS, TAMILNADU",0.95607
2000-02,"GOLAGHAT, ASSAM",0.95155
2000-01,"BADGAM, JAMMU AND KASHMIR",0.99571
2000-01,"BARAMULLA, JAMMU AND KASHMIR",0.99559
2000-01,"PULWAMA, JAMMU AND KASHMIR",0.99267
2000-01,"PHEK, NAGALAND",0.96909
2000-01,"KUPWARA, JAMMU AND KASHMIR",0.95021
2000-01,"UPPER SUBANSIRI, ARUNACHAL PRADESH",0.94991
2000-01,"DINDIGUL, TAMILNADU",0.94782
2000-01,"ANANTNAG, JAMMU AND KASHMIR",0.94447
2000-01,"UPPER SIANG, ARUNACHAL PRADESH",0.94436
2000-01,"DODA, JAMMU AND KASHMIR",0.93148
2002-12,"MON, NAGALAND",0.98841
2002-12,"PHEK, NAGALAND",0.98511
2002-12,"SENAPATI, MANIPUR",0.98472
2002-12,"BARAMULLA, JAMMU AND KASHMIR",0.97978
2002-12,"PULWAMA, JAMMU AND KASHMIR",0.97728
2002-12,"KARBI ANGLONG, ASSAM",0.96704
2002-12,"CHURACHANDPUR, MANIPUR",0.96560
2002-12,"TUENSANG, NAGALAND",0.96490
2002-12,"GOLAGHAT, ASSAM",0.95622
2002-12,"DINDIGUL, TAMILNADU",0.95520
2012-08,"PULWAMA, JAMMU AND KASHMIR",0.99385
2012-08,"WEST KAMENG, ARUNACHAL PRADESH",0.98870
2012-08,"N.C.HILLS, ASSAM",0.98473
2012-08,"MON, NAGALAND",0.98296
2012-08,"PHEK, NAGALAND",0.98290
2012-08,"GOLAGHAT, ASSAM",0.98290
2012-08,"KARBI ANGLONG, ASSAM",0.98187
2012-08,"SENAPATI, MANIPUR",0.98159
2012-08,"EAST SIANG, ARUNACHAL PRADESH",0.98095
2012-08,"NALBARI, ASSAM",0.98089
2004-02,"BARAMULLA, JAMMU AND KASHMIR",0.98999
